xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
3.93,0,-0.102137,0.042972,-1.154537,1.187,3.813
3.94,0,-0.097652,0.054948,-1.143071,1.065,3.544
3.95,0,-0.102264,0.051228,-1.113616,0.472,3.134
3.96,0,-0.115768,0.040042,-1.07002,-0.325,2.647
3.97,0,-0.133197,0.029901,-1.020716,-1.048,2.16
3.98,0,-0.147364,0.01711,-0.981681,-1.613,1.751
3.99,0,-0.153122,-0.003096,-0.962061,-2.082,1.47
4,0,-0.152765,-0.01525,-0.952659,-2.371,1.287
4.01,0,-0.155339,-0.010026,-0.94341,-2.31,1.168
4.02,0,-0.165633,0.002128,-0.929676,-1.851,1.163
4.03,0,-0.18036,0.01846,-0.90998,-1.068,1.293
4.04,0,-0.190399,0.044552,-0.892908,-0.047,1.5
4.05,0,-0.186144,0.075994,-0.892908,1.085,1.683
4.06,0,-0.167926,0.100506,-0.915993,2.172,1.754
4.07,0,-0.14665,0.107284,-0.953551,3.028,1.691
4.08,0,-0.133273,0.088072,-0.985248,3.428,1.546
4.09,0,-0.132509,0.047686,-0.998345,3.317,1.369
4.1,0,-0.139235,0.00437,-1.00074,2.874,1.211
4.11,0,-0.14265,-0.032449,-1.008002,2.366,1.122
4.12,0,-0.137248,-0.063483,-1.020206,1.894,1.067
4.13,0,-0.128305,-0.087486,-1.025557,1.443,0.994
4.14,0,-0.12754,-0.100327,-1.016283,0.962,0.927
4.15,0,-0.14,-0.102086,-0.992688,0.433,0.881
4.16,0,-0.158091,-0.090441,-0.966342,-0.013,0.838
4.17,0,-0.171621,-0.058566,-0.95057,-0.114,0.829
4.18,0,-0.179112,-0.008778,-0.944505,0.307,0.853
4.19,0,-0.179825,0.043176,-0.944072,1.093,0.829
4.2,0,-0.17078,0.072325,-0.955971,1.847,0.679
4.21,0,-0.155874,0.05905,-0.981502,2.148,0.454
4.22,0,-0.144841,0.013645,-1.004154,1.786,0.294
4.23,0,-0.144408,-0.032806,-1.011238,1.002,0.274
4.24,0,-0.151619,-0.061904,-1.006804,0.23,0.365
